trcid  bp
3 439.15
7 442.50
8 466.15
22 472.15
36 409.05
43 390.90
44 463.15
45 549.90
46 568.35
59 501.65
60 511.15
61 514.15
62 498.15
68 539.23
70 423.24
76 415.65
83 357.56
89 409.65
94 538.40
101 397.15
102 361.65
103 398.15
111 444.15
112 552.95
117 543.15
118 460.15
120 528.00
121 364.13
123 440.87
125 364.85
126 411.04
130 411.15
137 494.05
140 385.90
141 502.15
144 451.92
145 499.15
147 425.15
150 483.15
151 406.56
154 398.69
155 339.76
156 369.00
162 396.84
164 366.62
165 356.15
170 480.98
185 496.02
187 381.13
191 364.85
192 364.60
197 410.11
201 435.85
204 402.72
205 409.16
206 418.47
210 451.39
213 457.90
214 463.97
217 437.15
219 478.09
220 452.40
223 377.15
224 384.15
225 468.12
226 516.65
229 426.93
231 520.15
232 463.15
236 422.28
238 458.65
239 410.85
243 495.15
245 543.15
261 508.15
281 534.60
283 523.40
284 531.82
285 501.48
287 520.65
291 602.15
296 488.81
302 533.65
304 428.80
310 485.86
313 550.65
316 569.15
322 498.15
323 472.25
325 365.45
326 414.32
330 533.15
332 556.38
333 579.55
335 542.88
337 498.40
338 542.15
339 561.15
340 431.65
343 431.21
344 478.43
345 544.15
346 443.49
348 519.45
349 470.15
351 481.65
355 578.15
361 353.65
366 455.61
370 476.15
377 455.82
380 490.98
381 553.15
383 394.45
388 516.15
390 456.77
395 420.57
397 431.65
398 372.06
401 417.20
403 442.90
405 384.84
408 472.25
409 393.72
412 444.15
413 399.58
416 416.14
417 483.62
418 433.23
419 532.65
421 466.15
422 368.47
428 577.00
430 485.65
431 502.82
433 452.69
434 460.77
435 471.25
436 479.85
437 548.15
438 419.16
439 395.88
440 493.45
441 456.92
443 492.95
445 411.33
446 435.04
447 475.03
448 447.32
449 505.45
450 492.95
451 473.84
455 403.65
457 408.65
459 449.65
460 438.65
462 423.02
463 391.49
464 419.28
465 446.10
468 407.93
469 409.64
470 389.66
472 404.20
473 343.87
474 403.93
475 343.47
477 273.03
478 266.89
479 268.82
481 283.01
482 325.01
483 340.76
484 379.61
485 318.11
486 356.75
488 401.51
490 431.55
492 375.50
493 395.28
494 321.94
495 326.45
496 370.71
497 405.36
498 350.62
499 459.90
500 397.42
501 390.77
502 410.13
503 386.35
506 407.54
507 432.87
511 381.65
519 332.30
521 305.11
525 374.76
526 377.53
527 457.83
529 454.18
530 456.30
531 473.60
534 462.12
